相手先コード１,相手先コード２,相手先区分,所要日数,相手先略称,相手先名称１,相手先名称２,相手先名称３,郵便番号１,郵便番号２,住所１,住所２,住所３,電話番号,ＦＡＸ番号
T1210,RUK04,5,1,近鉄ｺｽﾓｽ　成田物流,株式会社　近鉄コスモス,成田物流センター,,289,1601,千葉県山武郡芝山町香山新田５８－１,,,0479-85-8343,
T2900,USS02,5,1,郵船航空サービス,郵船航空サービス㈱　成田ﾛｼﾞｽﾃｨｯｸｾﾝﾀｰ,,,289,1608,千葉県山武郡芝山町岩山字大宿1340-49,,,0479-70-9402,
T2850,KOS06,5,1,丸全昭和運輸㈱,丸全昭和運輸株式会社,,,289,1608,千葉県山武郡芝山町岩山2313-4,成田物流センター　C棟1F,気付　エクスペダイターズ・ジャパン㈱,0479-70-8580,
T1210,TAD12,5,1,西鉄物流,西鉄物流株式会社　梱包センター,,,289,1689,千葉県山武郡芝山町岩山１４８－１５,ＧＬＰ成田１階　第２ゲート,,0479-78-0551,
T2850,AIR02,5,1,NLTプロロジス,NLTプロロジスセンター,,,289,1608,千葉県山武郡芝山町岩山148-15,,,0479-78-0818,
T2850,CHS02,5,1,JALカーゴサービス,JALカーゴサービス　プロロジスセンター,気付　エクスぺダイターズ・ジャパン㈱,,289,1608,千葉県山武郡芝山町岩山148-15,JALカーゴサービス　プロロジスパーク成田,,0479-78-0818,0479-78-0818
T2880,AIR02,5,1,西鉄物流,西鉄物流株式会社　梱包ｾﾝﾀｰ,,,289,1608,千葉県山武郡芝山町岩山148－15,,,0479-78-0551,
T2880,GZS09,5,1,西鉄物流㈱梱包,西鉄物流株式会社　梱包センター,,,289,1608,千葉県山武郡芝山町岩山148-15,,,0479-78-0551,
T2880,HAS05,5,1,西鉄物流㈱梱包,西鉄物流株式会社　梱包センター,,,289,1608,千葉県山武郡芝山町岩山148-15,,,0479-78-0551,
T2880,TES04,5,1,西鉄物流㈱,西鉄物流㈱梱包センター,,,289,1608,千葉県山武郡芝山町岩山148-15,,,0479-78-0551,
T2880,USF01,5,1,西鉄物流,西鉄物流株式会社,梱包センター,,259,1608,千葉県山武郡芝山町岩山１４８－１５,,,0479-78-0551,
T2880,VES03,5,1,JALカーゴサービス,ＪＡＬカーゴサービス,,,289,1608,千葉県山武郡芝山町岩山148-15,プロロジスパーク成田内,,0479-78-0818,
T2880,GZS03,5,1,西鉄物流㈱,西鉄物流㈱成田梱包センター,,,289,1608,千葉県山武郡芝山町岩山1340-48,,,0479-78-0551,
T2880,IDL01,5,1,西鉄物流㈱,西鉄物流㈱　成田梱包センター,,,289,1608,千葉県山武郡芝山町岩山1340-48,,,0479-78-0551,
T2880,INS01,5,1,近鉄エキスプレス成田,株式会社 近鉄エクスプレス　成田ターミナ,,,289,1603,千葉県山武郡芝山町157-1,,,0479-70-9205,0479-70-9205
T1210,INK12,5,1,ｽｶｲﾊﾟｯｷﾝｸﾞ,株式会社　スカイパッキング,,,289,2231,千葉県香取郡多古町飯笹字蛭ヶ谷３６－５,,,0479-76-6031,
T3390,BRS01,5,1,スカイパッキング,株式会社スカイパッキング,,,289,2231,千葉県香取郡多古町飯笹字蛭ヶ谷３６－５,,,0479-76-6031,0479-76-6032
T3580,,4,1,友仁,株式会社　友仁エンジニアリング,,,273,136,千葉県鎌ヶ谷市佐津間,字中山新山１１６７番地７,,047-444-4888,047-441-4671
T3500,,4,1,高圧化工,高圧化工株式会社　千葉工場,,,289,2505,千葉県旭市鎌数１０８１５番地,,,0479-62-2066,0479-62-5174
T0060,PHT02,5,1,鈴与㈱,鈴与㈱清水支店,営業1課航空チーム上屋　中村様,,///,///,静岡市清水区築地町１２－６,柏栄トランス内,,,
T0060,H155,5,1,スギヤマ,株式会社　スギヤマ工業,,,424,104,静岡市清水区草ヶ谷４８２番地,,,054-366-2130,
T0060,PHT01,5,1,アオキトランス,アオキトランス㈱興津ターミナル事務所,,,424,206,静岡市清水区興津清見寺１３７５－１６,,,054-369-6666,
T0050,KEL02,5,1,鈴与メタノールセンタ,鈴与メタノールセンター,溝口様,,424,31,静岡市清水区横砂字若松2252-13,,,054-365-6383,
T0050,TAD02,5,1,鈴与㈱メタノール,鈴与㈱袖師埠頭事業部　ﾒﾀﾉｰﾙｾﾝﾀｰ事務所,,,424,31,静岡市清水区横砂字若松２２５２－１３,,,0543-65-6383,
T0060,H096,5,1,海野技研,海野技研工業,,,421,106,静岡市駿河区北丸子２－３８－２,,,054-258-7773,
T0050,KEL03,5,1,日本通運航空,日本通運航空,鈴木様,,422,8036,静岡市駿河区敷地2丁目7番20号,,,054-237-7614,
T2830,,4,1,トモノ,トモノ産業株式会社,,,422,8063,静岡市駿河区馬渕１丁目１３番地３２号,,,054-285-0488,054-285-0078
T0060,H077,5,1,トモノ,トモノ産業株式会社,,,422,8063,静岡市駿河区馬渕１丁目１３－３２,,,054-285-0488,
T0060,H033,5,1,㈱タミヤ,株式会社　タミヤ,購買部　購買課,,422,8021,静岡市駿河区小鹿1丁目63番地20号,,,054-285-0155,
T0060,PHT03,5,1,タミヤ,株式会社　タミヤ,購買部,,422,8021,静岡市駿河区小鹿1丁目63番地20号,,,054-285-0155,
T1039,H091,5,1,豊樹脂,豊樹脂工業株式会社,,,421,121,静岡市駿河区広野３－２０－１４,,,054-257-7161,054-258-5013
T0060,H048,5,1,富士産業,富士産業株式会社,,,421,412,静岡県牧之原市坂部３２２８番地,,,0548-29-0311,
T1031,H113,5,1,富士産業,富士産業株式会社,,,421,412,静岡県牧之原市坂部３２２８番地,,,0548-29-0311,0548-29-0419
T1039,H038,5,1,富士産業,富士産業株式会社,,,421,412,静岡県牧之原市坂部３２２８番地,,,0548-29-0311,0548-29-0419
T3290,H069,5,1,富士産業,富士産業株式会社,,,421,421,静岡県牧ノ原市坂部３２２８番地,,,0548-29-0311,0548-29-0419
T1039,H018,5,1,エーブル産業,有限会社　エーブル産業,,,431,2102,静岡県浜松市北区都田町９２８７－５,,,053-428-3856,053-428-4095
T1039,H045,5,1,ＯＰＣ,㈱オーピーシー,都田物流センター（本社）,,431,2102,静岡県浜松市北区都田町８４９７－２,,,053-428-7311,053-428-7310
T1039,,4,1,スタンレー浜松,スタンレー電気株式会社　浜松工場,,,431,1304,静岡県浜松市北区細江町中川１７０５,,,053-527-2364,
T1039,H017,5,1,永田塗装,永田塗装株式会社,,,431,2212,静岡県浜松市北区引佐町井伊谷２２５８,,,053-528-2788,
T1039,H097,5,1,永田塗装第２,永田塗装株式会社　第２工場,,,431,2212,静岡県浜松市北区引佐町井伊谷２１５７－６,,,053-542-2389,
T3260,,4,1,ファーム ファクトリ,有限会社　ファーム　ファクトリー,,,432,8063,静岡県浜松市南区小沢渡町６９８－１,,,053-447-4470,053-447-4406
T0070,H051,5,1,アイアン,株式会社　アイアン・カウボーイ,,,435,4,静岡県浜松市東区中野町６０１番地,,,053-582-6777,
T1210,TAD08,5,1,日本通運㈱浜松,日本通運株式会社　浜松航空支店,,,435,1,静岡県浜松市東区上石田1085番地,,,053-431-1139,
T3230,,4,1,ワールド　ホイール,有限会社　ワールド ホイール サービス,,,431,3104,静岡県浜松市東区貴平町１５０６－１,,,053-435-4929,053-435-4419
T1210,,4,1,豊通ｹﾐﾌﾟﾗｽ,豊通ケミプラス株式会社　静岡自動車材料部,静岡材料グループ,,430,7714,静岡県浜松市中区板屋町１１１－２,浜松アクトタワー14F,,053-457-8270,053-457-8229
T3780,,4,1,豊田通商　浜松,豊田通商株式会社　浜松支店,,,430,7714,静岡県浜松市中区板屋町１１１－２,浜松アクトタワー14F,,053-457-8260,053-457-8228
T1037,H128,5,1,金原塗装工場,有限会社　金原塗装工場,,,433,8117,静岡県浜松市中区高丘東２－２０－６２,,,053-437-2704,053-439-8119
T1039,H016,5,1,金原塗装工場,有限会社　金原塗装工場,,,433,8117,静岡県浜松市中区高丘東２－２０－６２,,,053-437-2704,053-439-8119
T1031,H125,5,1,金原塗装,有限会社　金原塗装工場,,,433,8117,静岡県浜松市中区高岳東２－２０－６２,,,053-437-2704,053-439-8119
T1037,H021,5,1,欣電,欣電株式会社　若林工場,,,432,8051,静岡県浜松市若林町２１３５－１,,,053-452-2893,053-452-2893
T3160,H056,5,1,三協化学,三協化学工業株式会社,,,438,2,静岡県磐田市大久保４７８－８,,,0538-38-1117,0538-38-1119
T3160,H070,5,1,ＮＴメカトロ,ＮＴメカトロニクス株式会社,,,438,2,静岡県磐田市大久保４７４－４,,,0538-38-1118,0538-38-1778
T1037,H119,5,1,イジマ,有限会社　イジマ,,,438,206,静岡県磐田市松本１９２－１,,,0538-66-0277,0538-66-0328
T1039,H019,5,1,イジマ,有限会社　イジマ,,,438,206,静岡県磐田市松本１９２－１,,,0538-66-0277,0538-66-0328
T3350,H098,5,1,原田塗装,有限会社　原田塗装工業所,,,438,215,静岡県磐田市小中瀬７１７,,,0538-59-3911,
T0050,H071,5,1,伊坂藤枝,伊坂化成株式会社　藤枝,,,426,3,静岡県藤枝市下当間２０２－５,,,054-643-6400,054-643-3433
T0060,,4,1,伊坂藤枝,伊坂化成株式会社　藤枝,,,426,3,静岡県藤枝市下当間２０２－５,,,0546-43-6400,0546-43-3433
T0060,H047,5,1,美光産業,美光産業株式会社,,,421,1121,静岡県藤枝市岡部町岡部２２０９－１８,,,054-667-3052,
T1032,H007,5,1,美光産業㈱,美光産業株式会社,,,421,1121,静岡県藤枝市岡部町岡部２２０９－１８,,,054-667-3052,054-667-3059
T3520,,4,1,美光産業,美光産業株式会社,,,421,1121,静岡県藤枝市岡部町岡部２２０９－１８,,,054-667-3052,054-667-3059
T0060,H188,5,1,朝日真空㈱,朝日真空株式会社,,,426,2,静岡県藤枝市横内８００－１１,,,054-641-9660,054-644-3896
T1039,INM01,5,1,鈴与袋井,鈴与袋井,,,437,0,静岡県袋井市新池1077,,,0538-41-2288,0538-43-2267
T0060,H058,5,1,肥田電器,肥田電器株式会社,蒸着部,,437,1,静岡県袋井市山田８８５－１,,,0538-49-1650,0538-49-3506
T1210,H127,5,1,小糸　生産技術,株式会社　小糸製作所,生産技術開発部　表面処理ｸﾞﾙｰﾌﾟ,,424,8764,静岡県静岡市清水区北脇５００番地,,,054-345-4401,054-347-6635
T1210,H175,5,1,小糸　静岡製造部,株式会社　小糸製作所　静岡工場　E3 F1,静岡製造部　部品技術課,,424,8764,静岡県静岡市清水区北脇５００番地,,,054-345-7072,
T1210,H179,5,1,小糸,株式会社　小糸製作所,,,424,8764,静岡県静岡市清水区北脇５００番地,,,054-345-2251,
T3770,,4,1,小糸製作所　静岡,株式会社　小糸製作所　静岡工場,,,424,8764,静岡県静岡市清水区北脇500番地,,,054-345-2551,
T1210,H141,5,1,小糸　製品開発,株式会社　小糸製作所,製品開発部,,424,8764,静岡県静岡市清水区北脇500,,,054-345-2251,
T1210,H163,5,1,天幸興業,天幸興業株式会社,,,424,57,静岡県静岡市清水区掘込５８－１,,,0543-44-5514,
T0060,H197,5,1,静浦精工,有限会社　静浦精工,,,422,8053,静岡県静岡市駿河区西中原２－１－３７,,,054-285-7019,
T1210,H132,5,1,城南電機,城南電機工業株式会社,,,421,1315,静岡県静岡市葵区富厚里１３１７－１２,,,054-206-2111,
T0050,,4,1,伊坂本社,伊坂化成株式会社　本社,,,420,68,静岡県静岡市葵区田町３－９２－３,,,054-252-2202,054-272-0098
T0060,H156,5,1,伊坂本社,伊坂化成株式会社　本社,,,420,68,静岡県静岡市葵区田町３－９２－３,,,054-252-2002,054-272-0098
T1210,H133,5,1,タキ倉庫　６号,株式会社　タキ倉庫　６号倉庫,,,424,57,静岡県清水区堀込２６－１,,,0543-45-0883,
T1037,H134,5,1,南部化成　裾野,南部化成株式会社　裾野事業所,,,410,1105,静岡県裾野市下和田８２－１,,,055-965-4144,055-965-4145
T3160,H136,5,1,南部化成　裾野,南部化成株式会社　裾野事業所,,,410,1105,静岡県裾野市下和田８２－１,,,055-965-4148,
T3350,,4,1,南部化成　裾野,南部化成株式会社　裾野事業所,,,410,1105,静岡県裾野市下和田８２－１,,,055-965-4144,055-965-4127
T0060,H006,5,1,吉田技研,有限会社　吉田技研,,,421,303,静岡県榛原郡吉田町片岡９６６－１,,,0548-32-3022,
T1037,H015,5,1,不二蒸着,株式会社　不二蒸着,,,421,302,静岡県榛原郡吉田町川尻９６５番地３,,,0548-32-5993,0548-32-6856
T1039,H015,5,1,不二蒸着,株式会社　不二蒸着,,,421,302,静岡県榛原郡吉田町川尻９６５番地３,,,0548-32-5993,0548-32-6856
T0060,H057,5,1,不二蒸着,株式会社　不二蒸着,,,421,302,静岡県榛原郡吉田町川尻９６５－３,,,0548-32-5993,
T3290,,4,1,不二蒸着,株式会社　不二蒸着,,,421,302,静岡県榛原郡吉田町川尻９６５－３,,,0548-32-5993,0548-32-6856
T1210,H153,5,1,タキ倉庫　榛南,株式会社　タキ倉庫　榛南営業所,,,421,302,静岡県榛原郡吉田町川尻５４９－１,,,0548-32-8110,
T3780,H195,5,1,タキ倉庫　榛南,株式会社　タキ倉庫　榛南営業所,,,421,302,静岡県榛原郡吉田町川尻５４９－１,,,0548-32-8110,
T0060,H203,5,1,カネナカ,カネナカ,,,421,302,静岡県榛原郡吉田町川尻３４４８－９,,,0548-32-6718,0548-32-6720
T1037,H122,5,1,みとも,株式会社　みとも,,,421,301,静岡県榛原郡吉田町住吉３８３２－６,,,0548-32-5099,
T1037,H123,5,1,真永,有限会社　真永,,,421,212,静岡県焼津市利右衛門２７２０－１,,,054-622-4857,
T3350,H105,5,1,真永,有限会社　真永,,,421,212,静岡県焼津市利右衛門２７２０－１,,,054-622-4857,054-270-6969
T0060,H063,5,1,光輝社　焼津,株式会社　光輝社 焼津製作所,,,425,87,静岡県焼津市保福島５６９,,,0546-27-6745,0546-27-6732
T0361,,4,1,光輝社焼津,株式会社　光輝社　焼津製作所,,,425,87,静岡県焼津市保福島５６９,,,054-627-6745,054-627-6732
T3350,H145,5,1,光輝社焼津,株式会社　光輝社　焼津製作所,,,425,87,静岡県焼津市保福島５６９,,,054-627-6745,054-627-6732
T0362,,4,1,光輝社芙蓉,株式会社　光輝社　芙蓉工場,,,425,33,静岡県焼津市小川３５５８,,,054-624-3846,054-623-4578
T0060,H164,5,1,タカハシ工業,株式会社　タカハシ工業,,,437,213,静岡県周智郡森町睦実１１２３番地７,,,0538-84-4811,0538-84-4812
T0070,H104,5,1,タカハシ,株式会社　タカハシ工業,,,437,213,静岡県周智郡森町睦実１１２３－７,,,0538-84-4811,
T3560,,4,1,ＣＢＣ,ＣＢＣ株式会社,ＣＢＣ イングスカンパニー,,411,821,静岡県三島市平田100,,,055-991-7301,055-991-7321
T3330,,4,1,新技術,株式会社　新技術研究所,,,412,47,静岡県御殿場市神場字水上６１６－３,,,0550-80-1000,0550-88-3022
T1032,H100,5,1,三光合成,三光合成株式会社,,,437,1434,静岡県掛川市下土方３５６０,,,0537-74-2512,0537-74-3443
T1037,H005,5,1,三光合成,株式会社　三光合成,,,437,1434,静岡県掛川市下土方３５６０,,,0537-74-2512,0537-74-3443
T3640,,4,1,三光合成,三光合成株式会社　静岡工場,,,437,1434,静岡県掛川市下土方３５６０,,,0537-74-2512,0537-74-3443
T0140,,4,1,相模塗装,相模塗装株式会社,,,254,16,神奈川県平塚市東八幡５－１０－２,東八幡工業団地内,,0463-21-5038,0463-22-5760
T0083,H067,5,1,森谷,株式会社　森谷真空,,,252,823,神奈川県藤沢市菖蒲沢６８,,,0466-48-4811,
T2900,H033,5,1,森谷真空　藤沢工場,㈱森谷真空　藤沢工場,,,252,823,神奈川県藤沢市菖蒲沢　６８番地,,,0466-48-4811,
T0870,,4,1,石井電機,株式会社　石井電機製作所,,,255,5,神奈川県中郡大磯町西小磯２３５,,,0463-61-2163,0463-61-1539
T1900,,4,1,藤原製作所,株式会社　藤原製作所,,,258,113,神奈川県足柄上郡山北町,山北１１０５,,0465-76-4115,0465-75-2111
T3100,,4,1,アシスト,アシスト株式会社,,,252,154,神奈川県相模原市緑区長竹２４０,,,042-780-5211,042-780-5266
T0360,,4,1,光輝社,株式会社　光輝社,,,211,53,神奈川県川崎市中原区上小田中６－８－１８,フィールド３　Ｃ－１,,044-733-5195,044-733-5198
T0083,H120,5,1,森谷　塚越工場,株式会社森谷真空　塚越工場,,,212,24,神奈川県川崎市幸区塚越3丁目415番地,,,044-511-6237,
T2900,H126,5,1,㈱森谷真空　塚越工場,㈱森谷真空　塚越工場,,,212,24,神奈川県川崎市幸区塚越3丁目415番地,,,044-511-6237,044-511-6238
T3720,,4,1,島津製作所,株式会社　島津製作所,,,259,1304,神奈川県秦野市堀山下３８０－１,産業機械事業部,,0463-88-8819,
T3750,,4,1,島津産機ｼｽﾃﾑｽﾞ,島津産機システムズ株式会社,,,259,1304,神奈川県秦野市堀山下３８０－１,,,0463-88-8589,0463-88-8528
T1031,,4,1,スタンレー秦野,スタンレー電気株式会社　秦野製作所,,,257,8555,神奈川県秦野市曽屋４００,,,0463-81-1111,0463-82-7001
T1031,H001,5,1,ｽﾀﾝﾚｰ秦野 部品製造1,スタンレー電気㈱秦野四輪工場,部品製造2課　部品製造1係,,257,8555,神奈川県秦野市曽屋４００,,,0463-84-8277,0463-83-5954
T1031,H002,5,1,ｽﾀﾝﾚｰ秦野 生産３課,スタンレー電気株式会社 秦野四輪工場,生産３課,,257,8555,神奈川県秦野市曽屋４００,,,0463-80-1064,0463-84-8495
T1031,H003,5,1,ｽﾀﾝﾚｰ秦野 生産４課,スタンレー電気株式会社 秦野四輪工場,生産４課,,257,8555,神奈川県秦野市曽屋４００,,,0463-84-8325,0463-83-5954
T1031,H004,5,1,ｽﾀﾝﾚｰ秦野 部品製造2,スタンレー電気㈱　秦野四輪工場,部品製造2課　部品製造2係,,257,8555,神奈川県秦野市曽屋４００,,,0463-84-8610,0463-84-7554
T1031,H073,5,1,ｽﾀﾝﾚｰ秦野 表面処理,スタンレー電気株式会社　秦野四輪工場,部品製造一課　表面処理係,,257,8555,神奈川県秦野市曽屋４００,,,0463-80-1621,0463-84-7554
T1031,H110,5,1,ｽﾀﾝﾚｰ秦野 生産２課,スタンレー電気株式会社　秦野四輪工場,生産２課,,257,8555,神奈川県秦野市曽屋４００,,,0463-80-1527,0463-83-5954
T3020,,4,1,トータス技実,株式会社　トータス技実,,,259,1306,神奈川県秦野市戸川４５－１,,,0463-74-1070,0463-75-4485
T3380,H200,5,1,市光工業　厚木,市光工業株式会社　厚木製造所,,,243,214,神奈川県厚木市下古沢８５７,,,0462-90-4727,
T3060,,4,1,日産,㈱日産クリエイティブサービス,厚木環境エンジニアリング課,,243,136,神奈川県厚木市岡津古久５６０－２,日産テクニカルセンター内,,046-247-8403,046-247-3387
T3060,H029,5,1,日産テクニカル,日産自動車株式会社,テクニカルセンター　ZXG,,243,136,神奈川県厚木市岡津古久５６０－２,,,046-270-1662,046-270-1245
T3060,H030,5,1,日産トレーディング,日産トレーディングセンター,海老名ＭＯＲセンター,,243,425,神奈川県海老名市中野４５－１,,,046-238-8565,
T3680,,4,1,玉川,玉川電器株式会社,,,240,5,神奈川県横浜市保土ヶ谷区神戸町１３４,,,045-339-5921,045-335-3498
T0340,,4,1,カネコ真空,有限会社カネコ真空,,,224,23,神奈川県横浜市都筑区東山田４－３９－１６,,,045-591-1752,045-592-4110
T0360,H052,5,1,カネコ,有限会社　カネコ真空,,,224,23,神奈川県横浜市都筑区東山田４－３９－１６,,,045-591-1752,045-592-4110
T1031,H182,5,1,カネコ真空,有限会社カネコ真空,,,224,23,神奈川県横浜市都筑区東山田４－３９－１６,,,045-591-1752,
T3610,,4,1,ｼﾊﾞｯｸｽ・ﾃﾞｽﾓ,株式会社　シバックス・デスモ,,,224,57,神奈川県横浜市都筑区川和町２５５－３,,,045-522-1414,045-934-2429
T3270,,4,1,エスイーワークス,株式会社　エス・イー・ワークス,,,224,53,神奈川県横浜市都築区池辺町４０２８番地,,,045-934-6520,045-934-5469
T0060,TAD11,5,1,㈱日陸　横浜物流,株式会社　日陸　横浜物流センター,SEA NACCS:2BWC6,,230,53,神奈川県横浜市鶴見区大黒町９－２,,,045-508-1551,
T2880,GZS06,5,1,築港横浜　第２,株式会社　築港　横浜化学品センター,第２倉庫,,230,53,神奈川県横浜市鶴見区大黒町９－１５,,,045-510-4590,045-508-3362
T2880,HAS04,5,1,築港横浜　第２,株式会社　築港　横浜化学品センター,第２倉庫,,230,53,神奈川県横浜市鶴見区大黒町９－１５,,,045-510-4590,045-508-3362
T2880,INN13,5,1,築港横浜　第２,株式会社　築港　横浜化学品センター,第２倉庫,,230,53,神奈川県横浜市鶴見区大黒町９－１５,,,045-510-4590,045-508-3362
T2880,INS05,5,1,築港横浜　第２,株式会社　築港　横浜化学品センター,第２倉庫,,230,53,神奈川県横浜市鶴見区大黒町９－１５,,,045-510-4590,045-508-3362
T2880,JUS04,5,1,築港横浜　第２,株式会社　築港　横浜化学品センター,第２倉庫,,230,53,神奈川県横浜市鶴見区大黒町９－１５,,,045-510-4590,045-508-3362
T2880,MAI04,5,1,築港横浜　第２,株式会社　築港　横浜化学品センター,第２倉庫,,230,53,神奈川県横浜市鶴見区大黒町９－１５,,,045-510-4590,045-508-3362
T2880,TES05,5,1,築港横浜　第２,株式会社　築港　横浜化学品センター,第２倉庫,,230,53,神奈川県横浜市鶴見区大黒町９－１５,,,045-510-4590,045-508-3362
T2880,USF03,5,1,築港横浜　第２,株式会社　築港　横浜化学品センター,第２倉庫,,230,53,神奈川県横浜市鶴見区大黒町９－１５,,,045-510-4590,
T2880,VES05,5,1,築港横浜　第２,株式会社　築港　横浜化学品センター,第２倉庫,,230,53,神奈川県横浜市鶴見区大黒町９－１５,,,045-510-4590,045-508-3362
T2880,WUS02,5,1,築港横浜　第２,株式会社　築港　横浜化学品センター,第２倉庫,,230,53,神奈川県横浜市鶴見区大黒町９－１５,,,045-510-4590,
T3740,THT01,5,1,築港横浜　第２,株式会社　築港　横浜化学品センター,第２倉庫,,230,53,神奈川県横浜市鶴見区大黒町９－１５,,,045-510-4590,
T1100,TAD01,5,1,鶴見倉庫,鶴見倉庫株式会社　大黒町倉庫,,,230,53,神奈川県横浜市鶴見区大黒町8-1,,,045-521-0021,
T2880,GZS02,5,1,築港横浜,株式会社　築港　横浜化学品センター,,,230,53,神奈川県横浜市鶴見区大黒町5-81,,,045-502-1867,
T2880,HAS02,5,1,築港横浜,株式会社　築港　横浜化学品センター,,,230,53,神奈川県横浜市鶴見区大黒町5-81,,,045-502-1867,
T2880,INB01,5,1,築港横浜,株式会社　築港,横浜化学品センター,,230,53,神奈川県横浜市鶴見区大黒町5-81,,,045-502-1867,
T2880,INI01,5,1,築港横浜,株式会社　築港　横浜化学品センター,,,230,53,神奈川県横浜市鶴見区大黒町5-81,,,045-502-1867,
T2880,INS02,5,1,築港横浜,株式会社　築港　横浜化学品センター,,,230,53,神奈川県横浜市鶴見区大黒町5-81,,,045-502-1867,
T2880,JUS01,5,1,築港横浜,株式会社　築港　横浜化学品センター,,,230,53,神奈川県横浜市鶴見区大黒町5-81,,,045-502-1867,
T2880,MAE02,5,1,築港横浜,株式会社　築港　横浜化学品センター,,,230,53,神奈川県横浜市鶴見区大黒町5-81,,,045-502-1867,
T2880,MAI01,5,1,㈱築港　横浜,㈱築港　横浜化学品センター,,,230,53,神奈川県横浜市鶴見区大黒町5-81,,,045-502-1867,
T2880,TES02,5,1,築港横浜,株式会社　築港　横浜化学品センター,,,230,53,神奈川県横浜市鶴見区大黒町5-81,,,045-502-1867,
T2880,VES02,5,1,築港横浜,株式会社　築港　横浜化学品センター,,,230,53,神奈川県横浜市鶴見区大黒町5-81,,,045-502-1867,
T2880,INN11,5,1,築港横浜,株式会社　築港　横浜化学品ｾﾝﾀｰ,,,230,53,神奈川県横浜市鶴見区大黒町 5-81,,,045-502-1867,045-503-3160
T3090,CHD03,5,1,サンリツ,株式会社サンリツ,,,230,54,神奈川県横浜市鶴見区大黒ふ頭22Y-CC物流棟,111NACOS CORD2H136,,045-510-2135,
T1031,H191,5,1,満寿矢特殊硝子,有限会社　満寿矢特殊硝子,,,230,11,神奈川県横浜市鶴見区上末吉３－２－１８,,,045-581-4761,
T0600,,4,1,横浜真空本社工場,株式会社　横浜真空　本社工場,,,230,71,神奈川県横浜市鶴見区駒岡１－２８－４３,,,045-580-1170,045-581-5566
T0060,H031,5,1,三栄産業㈱,三栄産業株式会社,,,222,1,神奈川県横浜市港北区樽町４－１８－３０,,,045-531-8793,045-531-8793
T0370,,4,1,三栄産業,三栄産業株式会社,,,222,1,神奈川県横浜市港北区樽町４－１８－３０,,,045-531-8793,045-531-8886
T1031,H135,5,1,駿河産業,有限会社　駿河産業,,,223,56,神奈川県横浜市港北区新吉田町6088,,,045-593-5461,
T3840,,4,1,ｵｳﾙ･ｸﾗﾌﾄ,株式会社　オウル・クラフト,,,223,57,神奈川県横浜市港北区新羽町３３６－１,,,045-540-2960,045-532-1207
T1191,,4,1,芝川製作所,株式会社　芝川製作所　第一事業所,,,223,52,神奈川県横浜市港北区綱島東６－２－２７,,,045-542-2058,045-542-2065
T1190,,4,1,横浜機工,横浜機工株式会社,,,236,8647,神奈川県横浜市金沢区福浦２－１１－１,,,045-787-7376,045-781-2709
T3710,VEN01,5,1,舟津産業,舟津産業株式会社,,,236,3,神奈川県横浜市金沢区幸浦２－９－１２,,,045-785-0411,045-785-0451
T3380,,4,1,市光工業伊勢原,市光工業株式会社,伊勢原製造所,,259,1192,神奈川県伊勢原市板戸８０番地,,,0463-96-1451,
T2920,,4,1,市光生産技術,市光工業株式会社　生産技術開発部,,,259,1145,神奈川県伊勢原市板戸８０,,,0463-96-1461,0463-96-2084
T3240,,4,1,グリーンピース,株式会社　グリーンピース,,,252,1125,神奈川県綾瀬市吉岡東１－１４－５,,,0467-78-7446,0467-76-6098
T3240,H064,5,1,日南,株式会社　日南,,,252,1125,神奈川県綾瀬市吉岡東１－１４－１３,,,0467-78-8891,
T3170,CHK01,5,1,㈱築港ﾎﾟｰﾄｱｲﾗﾝﾄﾞ,㈱築港　ポートアイランド化学品センター,,,650,45,神戸市中央区港島8-7,,,078-306-2370,
T3140,,4,1,新潟テクノ,株式会社　新潟テクノ,,,945,114,新潟県柏崎市藤井1408番地1,,,0257-20-0305,0257-20-0306
T3830,H202,5,1,ﾌｸﾀﾞｺｰﾎﾟﾚｰｼｮﾝ,株式会社　フクダコーポレーション,,,940,2045,新潟県長岡市西陵町２６７４－１８,（雲出工業団地）,,0258-46-6901,0258-46-6902
T3050,,4,2,新潟三桂,新潟三桂株式会社,,,959,3937,新潟県村上市板屋沢１４０－６,,,0254-77-3145,0254-77-2284
T0070,H092,5,2,アーク　富士吉田,株式会社アーク　富士吉田工場　資材部,,,403,2,山梨県富士吉田市小明見４２５２,,,0555-24-1811,
T0070,H183,5,2,ｱｰｸ　富士吉田,株式会社　アーク　富士吉田工場,,,403,18,山梨県富士吉田市向原２－１２－８,,,0555-24-1811,
T0560,,4,1,ビューテック,株式会社　ビューテック,,,400,851,山梨県甲府市住吉４－９－８,,,0552-35-4350,0552-32-8683
T3110,H031,5,1,日研産業メッキ部,日研産業株式会社　メッキ部,,,400,851,山梨県甲府市住吉４－９－８,,,055-235-4350,055-232-8683
T3110,,4,1,日研,日研産業株式会社,,,400,113,山梨県甲斐市富竹新田２０２５－３,,,055-276-7565,055-279-2809
T3410,H099,5,1,オーデリック,オーデリック株式会社　山形工場,塗装係,,999,3701,山形県東根市東根甲５５４４,,,0237-38-6213,
T3010,H102,5,1,津田　本社,津田工業株式会社　本社工場,,,355,812,埼玉県比企郡滑川町都２５－３５,,,0493-56-4181,0493-56-3994
